airport_ref,airport_ident,type_of_airport,airport_name,latitude,longitude,elevation_ft,state,municipality,scheduled_service,unique_id,id,length_ft,width_ft,surface,lighted,closed,le_ident,le_displaced_threshold_ft,he_ident,he_displaced_threshold_ft
6523,00A,heliport,Total RF Heliport,40.070984,-74.933685,11.0,PA,Bensalem,no,1,269408,80.0,80.0,ASPH-G,1,0,H1,,,
6524,00AK,small_airport,Lowell Field,59.947735,-151.69252,450.0,AK,Anchor Point,no,3,255155,2500.0,70.0,GRVL,0,0,N,,S,
6525,00AL,small_airport,Epps Airpark,34.8648,-86.7703,820.0,AL,Harvest,no,4,254165,2300.0,200.0,TURF,0,0,01,,19,
506791,00AN,small_airport,Katmai Lodge Airport,59.09329,-156.4567,80.0,AK,King Salmon,no,5,506792,4517.0,60.0,GVL,0,0,3,,21,
6526,00AR,closed,Newport Hospital & Clinic Heliport,35.6087,-91.2549,237.0,AR,Newport,no,6,270932,40.0,40.0,GRASS,0,0,H1,,H1,
322127,00AS,small_airport,Fulton Airport,34.942802,-97.818016,1100.0,OK,Alex,no,7,322128,1450.0,60.0,Turf,0,0,1,,19,
6527,00AZ,small_airport,Cordes Airport,34.3056,-112.165,3810.0,AZ,Cordes,no,8,257681,1700.0,60.0,GRAVEL,0,0,15,,33,
6528,00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.88533,3038.0,CA,Barstow,no,9,245528,6000.0,80.0,ASPH,0,0,04,,22,
6529,00CO,closed,Cass Field,40.622204,-104.344,4830.0,CO,Briggsdale,no,12,250597,3900.0,20.0,TURF-G,0,0,16,,34,
6531,00FA,small_airport,Grass Patch Airport,28.6455,-82.219,53.0,FL,Bushnell,no,13,247972,3200.0,100.0,TURF,0,0,08,,26,800.0
6532,00FD,closed,Ringhaver Heliport,28.8466,-82.3454,25.0,FL,Riverview,no,14,265037,74.0,74.0,TURF,0,0,H1,,,
6533,00FL,small_airport,River Oak Airport,27.2309,-80.9692,35.0,FL,Okeechobee,no,15,250414,4090.0,100.0,TURF,0,0,12,,30,
6534,00GA,small_airport,Lt World Airport,33.7675,-84.0683,700.0,GA,Lithonia,no,16,253429,2600.0,80.0,TURF,0,0,09,,27,
6535,00GE,heliport,Caffrey Heliport,33.88798,-84.736984,957.0,GA,Hiram,no,17,265038,125.0,95.0,ASPH,1,0,H1,,,
6536,00HI,heliport,Kaupulehu Heliport,19.832882,-155.97835,43.0,HI,Kailua-Kona,no,18,265039,1155.0,45.0,ASPH-G,0,0,H1,,,
6537,00ID,small_airport,Delta Shores Airport,48.1453,-116.214,2064.0,ID,Clark Fork,no,19,246648,3300.0,40.0,TURF,0,0,08,,26,
6537,00ID,small_airport,Delta Shores Airport,48.1453,-116.214,2064.0,ID,Clark Fork,no,19,246649,2700.0,40.0,TURF,0,0,11,,29,
6539,00IL,small_airport,Hammer Airport,41.9784,-89.5604,840.0,IL,Polo,no,22,252182,2500.0,75.0,TURF-F,0,0,18,290.0,36,350.0
6540,00IN,heliport,St Mary Medical Center Heliport,41.5114,-87.2606,634.0,IN,Hobart,no,23,265040,40.0,40.0,MATS,1,0,H1,,,
6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.0256,-89.1229,820.0,IL,Kings,no,24,254597,1600.0,70.0,TURF,0,0,09,,24,
6542,00KS,small_airport,Hayden Farm Airport,38.7278,-94.9305,1100.0,KS,Gardner,no,25,256603,2600.0,85.0,TURF,0,0,17,,35,
6543,00KY,small_airport,Robbins Roost Airport,37.4094,-84.6197,1265.0,KY,Stanford,no,26,251984,2100.0,100.0,TURF,0,0,01,,19,
45437,00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.980835,15.0,LA,Gonzales,no,27,264322,40.0,40.0,TURF,0,0,H1,,,
6544,00LL,heliport,Ac & R Components Heliport,39.6653,-89.7056,600.0,IL,Chatham,no,28,265041,25.0,25.0,CONC,0,0,H1,,,
6545,00LS,small_airport,Lejeune Airport,30.1363,-92.4294,12.0,LA,Crowley,no,29,255958,2600.0,100.0,TURF,0,0,18,,36,
6546,00MD,small_airport,Slater Field,38.7571,-75.7538,45.0,MD,Federalsburg,no,30,255848,1700.0,75.0,TURF,0,0,14,,32,
6547,00MI,heliport,Dow Chemical Heliport,43.9494,-86.4167,588.0,MI,Ludington,no,31,265042,100.0,100.0,TURF,0,0,H1,,,
6548,00MN,small_airport,Battle Lake Municipal Airport,46.3,-95.7003,1365.0,MN,Battle Lake,no,32,255865,2949.0,200.0,TURF-G,1,0,06,,24,
6549,00MO,small_airport,Cooper Flying Service Airport,37.2028,-94.4124,970.0,MO,Alba,no,33,254820,2400.0,25.0,TURF,0,0,08,,26,
6551,00N,small_airport,Bucks Airport,39.473,-75.18435,105.0,NJ,Bridgeton,no,35,249208,1900.0,150.0,TURF-G,1,0,18,,36,
6552,00NC,small_airport,North Raleigh Airport,36.0852,-78.3714,348.0,NC,Louisburg,no,36,249382,2650.0,36.0,ASPH-G,0,0,05,,23,
6553,00NJ,heliport,Colgate-Piscataway Heliport,40.5209,-74.4746,78.0,NJ,New Brunswick,no,37,269409,50.0,50.0,ASPH,0,0,H1,,,
506039,00NR,heliport,Rodanthe Dare County Heliport,35.59473,-75.47,8.0,NC,Rodanthe,no,39,506040,50.0,50.0,CON,1,0,H1,,,
6554,00NY,small_airport,Weiss Airfield,42.89576,-77.49526,1000.0,NY,West Bloomfield,no,40,248635,2350.0,80.0,TURF,1,0,03,,21,
6555,00OH,closed,Exit 3 Airport,41.590477,-84.14159,785.0,OH,Wauseon,no,41,255568,2695.0,90.0,TURF-G,0,0,08,,26,
6556,00OI,heliport,Miami Valley Hospital Heliport,39.74509,-84.18728,905.0,OH,Dayton,no,42,269410,42.0,42.0,CONC,0,0,H1,,,
328503,00OK,small_airport,Gull Bay Landing Airport,36.198597,-96.21769,960.0,OK,Sandsprings,no,43,328512,2200.0,60.0,Turf/Dirt,0,0,17,,35,
6558,00PA,heliport,R J D Heliport,39.9489,-75.7469,402.0,PA,Coatesville,no,45,269411,80.0,80.0,TURF-G,0,0,H1,,,
45773,00PN,small_airport,Ferrell Field,41.2995,-80.21111,1301.0,PA,Mercer,no,46,264557,500.0,75.0,TURF,0,0,12,,30,
6559,00PS,closed,Thomas Field,40.3778,-77.3653,815.0,PA,Loysville,no,47,251695,3100.0,100.0,TURF-G,0,0,08,1335.0,26,1072.0
6560,00S,small_airport,McKenzie Bridge State Airport,44.181465,-122.086,1620.0,OR,Blue River,no,48,250124,2600.0,90.0,TURF-P,0,0,06,,24,
6561,00SC,small_airport,Flying O Airport,34.0094,-80.2672,150.0,SC,Sumter,no,49,250457,2900.0,100.0,TURF,0,0,08,,26,
330391,00SD,small_airport,Homan Field,44.80916,-96.49889,1590.0,SD,Gary,no,50,330392,2400.0,50.0,Turf,0,0,18,,36,
6562,00TA,closed,SW Region FAA Heliport,32.8269,-97.3058,598.0,TX,Fort Worth,no,51,269412,85.0,85.0,CONC-G,0,0,H1,,,
6563,00TE,heliport,Tcjc-Northeast Campus Heliport,32.8476,-97.1895,600.0,TX,Fort Worth,no,52,269413,48.0,48.0,TURF,0,0,H1,,,
6564,00TN,closed,Ragsdale Road Airport,35.515617,-85.954254,1100.0,TN,Manchester,no,53,251439,1800.0,150.0,TURF,0,0,09,,27,
6565,00TS,small_airport,Alpine Range Airport,32.6076,-97.242,670.0,TX,Everman,no,54,248688,1200.0,45.0,TURF,0,0,01,,19,
516563,00TT,small_airport,Nowhere Airport,34.516605,-99.93694,1752.0,TX,Goodlett,no,55,516564,2429.0,80.0,Turf/Dirt,0,0,18,,36,
6566,00TX,closed,San Jacinto Methodist Hospital Heliport,29.7377,-94.9802,19.0,TX,Baytown,no,56,269414,50.0,50.0,CONC,0,0,H1,,,
6568,00VA,small_airport,Vaughan Airport,36.574963,-78.998436,551.0,VA,Alton,no,58,251342,1300.0,100.0,TURF,0,0,01,,19,
6569,00VI,small_airport,Groundhog Mountain Airport,36.6633,-80.4995,2680.0,VA,Hillsville,no,59,247311,1500.0,50.0,TURF,0,0,09,,27,
6570,00W,small_airport,Lower Granite State Airport,46.672886,-117.44193,719.0,WA,Colfax,no,60,254777,3400.0,50.0,GRAVEL-F,0,0,14,,32,
6571,00WA,small_airport,Howell Airport,47.1784,-122.772,150.0,WA,Longbranch,no,61,247637,1105.0,70.0,TURF-G,0,0,08,,26,
6572,00WI,small_airport,Northern Lite Airport,44.3043,-89.0501,860.0,WI,Waupaca,no,62,240309,1000.0,60.0,TURF,0,0,09,,27,200.0
6573,00WN,small_airport,Hawks Run Airport,46.25,-117.249,2900.0,WA,Asotin,no,63,250630,1440.0,50.0,TURF-G,0,0,05,,23,
6574,00WV,small_airport,Lazy J. Aerodrome,38.8289,-79.8661,2060.0,WV,Beverly,no,64,251212,1800.0,100.0,TURF,0,0,05,,23,
6575,00XS,closed,L P Askew Farms Airport,33.0334,-101.934,3110.0,TX,O'Donnell,no,67,253285,1475.0,75.0,TURF-F,0,0,17,,35,
6576,01A,small_airport,Purkeypile Airport,62.940834,-152.26973,2041.0,AK,Purkeypile,no,68,252236,1176.0,50.0,GRAVEL-F,0,0,5,,23,
6577,01AK,heliport,Providence Seward Medical Center Heliport,60.105873,-149.44624,120.0,AK,Seward,no,69,265043,40.0,40.0,CONC,1,0,H1,,,
6578,01AL,small_airport,Ware Island Airport,32.946,-86.5139,344.0,AL,Clanton,no,70,252134,2500.0,160.0,TURF,1,0,N,,S,
6579,01AR,heliport,DeQueen Medical Center Heliport,34.047455,-94.35403,440.0,AR,DeQueen,no,72,265044,55.0,55.0,CONC,1,0,H1,,,
6580,01AZ,heliport,Yat Heliport,34.607407,-111.8609,3300.0,AZ,Camp Verde,no,73,265045,210.0,150.0,TURF,0,0,H1,,,
6581,01C,closed,Grant Airport,43.3417,-85.775,815.0,MI,Grant,no,74,256815,2517.0,120.0,TURF-G,1,0,09,387.0,27,580.0
6582,01CA,heliport,SCE Lugo Substation Heliport,34.36824,-117.370056,3733.0,CA,Hesperia,no,75,265046,20.0,20.0,ASPH,0,0,H1,,,
6583,01CL,small_airport,Swansboro Country Airport,38.7999,-120.734,2594.0,CA,Placerville,no,76,246361,3100.0,50.0,ASPH-TRTD,1,0,09,500.0,27,
6584,01CN,closed,Los Angeles County Sheriff's Department Heliport,34.0378,-118.154,300.0,CA,Los Angeles,no,77,265047,60.0,60.0,ASPH,0,0,H1,,,
6585,01CO,heliport,St Vincent General Hospital Heliport,39.2453,-106.246,10175.0,CO,Leadville,no,78,265048,125.0,40.0,ASPH,0,0,H1,,,
6586,01CT,heliport,Berlin Fairgrounds Heliport,41.6273,-72.7275,60.0,CT,Berlin,no,79,265049,70.0,70.0,TURF-GRVL,0,0,H1,,,
6587,01FA,small_airport,Rybolt Ranch Airport,28.5894,-81.1442,55.0,FL,Orlando,no,80,256042,2000.0,100.0,TURF,0,0,10,,28,
6587,01FA,small_airport,Rybolt Ranch Airport,28.5894,-81.1442,55.0,FL,Orlando,no,80,256043,1500.0,100.0,TURF,0,0,18,,36,
6588,01FD,heliport,Advent Health Altamonte Springs Heliport,28.66664,-81.3697,86.0,FL,Altamonte Springs,no,81,265050,110.0,110.0,CONC,0,0,H1,,,
6589,01FL,small_airport,Cedar Knoll Flying Ranch Airport,28.7819,-81.1592,19.0,FL,Geneva,no,82,254779,3000.0,50.0,TURF,1,0,18,,36,800.0
6590,01GA,heliport,Medical Center Heliport,32.4793,-84.9791,319.0,GA,Columbus,no,83,265051,65.0,65.0,CONC,0,0,H1,,,
6591,01GE,small_airport,The Farm Airport,32.675106,-82.77106,375.0,GA,Wrightsville,no,84,251847,2560.0,75.0,TURF,0,0,10,,28,
6592,01IA,closed,Stender Airport,41.6611,-90.7413,725.0,IA,Maysville,no,85,253118,2575.0,50.0,TURF-F,1,0,17,275.0,35,
6530,01ID,small_airport,Lava Hot Springs Airport,42.6082,-112.032,5268.0,ID,Lava Hot Springs,no,86,258036,2894.0,100.0,TURF-F,0,0,14,,32,
6594,01IL,heliport,Hoopeston Community Memorial Hospital Heliport,40.4586,-87.6595,583.0,IL,Hoopeston,no,88,265052,416.0,216.0,TURF,0,0,H1,,,
6595,01IN,heliport,Community Hospital Heliport,40.1309,-85.6958,890.0,IN,Anderson,no,89,265053,45.0,45.0,ASPH,0,0,H1,,,
6596,01IS,small_airport,William E. Koenig Airport,39.0162,-90.3182,670.0,IL,Dow,no,90,252362,1300.0,100.0,TURF,0,0,09,,27,
6597,01J,small_airport,Hilliard Airpark,30.685568,-81.90635,59.0,FL,Hilliard,no,91,254664,3365.0,125.0,TURF-P,1,0,18,795.0,36,370.0
6598,01K,small_airport,Caldwell Municipal Airport,37.036133,-97.58533,1157.0,KS,Caldwell,no,92,249830,2460.0,110.0,TURF-G,1,0,17,,35,
6599,01KS,small_airport,Flying N Ranch Airport,38.5406,-97.0033,1485.0,KS,Lost Springs,no,93,255679,2400.0,100.0,TURF,0,0,18,,36,
6600,01KY,heliport,Lourdes Hospital Heliport,37.0517,-88.6469,419.0,KY,Paducah,no,94,265054,40.0,40.0,CONC,0,0,H1,,,
